"Relative Time (Process)","Nvdia A100 x2 - system/gpu.process.0.powerWatts","Nvdia A100 x2 - system/gpu.process.0.powerWatts__MIN","Nvdia A100 x2 - system/gpu.process.0.powerWatts__MAX","Nvdia A100x1 - system/gpu.process.0.powerWatts","Nvdia A100x1 - system/gpu.process.0.powerWatts__MIN","Nvdia A100x1 - system/gpu.process.0.powerWatts__MAX","Nvidia H100 x1 - system/gpu.process.0.powerWatts","Nvidia H100 x1 - system/gpu.process.0.powerWatts__MIN","Nvidia H100 x1 - system/gpu.process.0.powerWatts__MAX"
"60.766481","258.04","258.04","258.04","","","","","",""
"60.788967","","","","244.22","244.22","244.22","","",""
"61.322508","","","","","","","345.58","345.58","345.58"
"90.770507","319.13","319.13","319.13","","","","","",""
"90.793801","","","","338.21","338.21","338.21","","",""
"91.325404","","","","","","","573.37","573.37","573.37"
"120.775402","301.08","301.08","301.08","","","","","",""
"120.79838","","","","303.11","303.11","303.11","","",""
"121.341898","","","","","","","515.06","515.06","515.06"
"150.778872","287.86","287.86","287.86","","","","","",""
"150.803049","","","","337.91","337.91","337.91","","",""
"151.351469","","","","","","","524.83","524.83","524.83"
"180.783777","311.86","311.86","311.86","","","","","",""
"180.806335","","","","306.62","306.62","306.62","","",""
"181.380656","","","","","","","525.85","525.85","525.85"
"210.787137","300.37","300.37","300.37","","","","","",""
"210.810714","","","","335.19","335.19","335.19","","",""
"211.409512","","","","","","","498.96","498.96","498.96"
"240.792538","296.84","296.84","296.84","","","","","",""
"240.815048","","","","332.56","332.56","332.56","","",""
"241.411156","","","","","","","481.54","481.54","481.54"
"270.795386","328.71","328.71","328.71","","","","","",""
"270.819043","","","","351.86","351.86","351.86","","",""
"271.418166","","","","","","","529.56","529.56","529.56"
"300.80005","318.03","318.03","318.03","","","","","",""
"300.822094","","","","311.01","311.01","311.01","","",""
"301.41927","","","","","","","550.85","550.85","550.85"
"330.804625","334.22","334.22","334.22","","","","","",""
"330.826614","","","","348.74","348.74","348.74","","",""
"331.422145","","","","","","","559.92","559.92","559.92"
"360.809608","329.91","329.91","329.91","","","","","",""
"360.831018","","","","335.75","335.75","335.75","","",""
"361.434034","","","","","","","550.4","550.4","550.4"
"390.812572","311.57","311.57","311.57","","","","","",""
"390.835446","","","","323.71","323.71","323.71","","",""
"391.45065","","","","","","","511.63","511.63","511.63"
"420.817224","330.36","330.36","330.36","","","","","",""
"420.839429","","","","350.47","350.47","350.47","","",""
"421.477445","","","","","","","501.59","501.59","501.59"
"450.821539","341.37","341.37","341.37","","","","","",""
"450.843885","","","","325.24","325.24","325.24","","",""
"451.479099","","","","","","","501.56","501.56","501.56"
"480.825245","325.99","325.99","325.99","","","","","",""
"480.848444","","","","342.62","342.62","342.62","","",""
"481.484016","","","","","","","497.51","497.51","497.51"
"510.830202","308.2","308.2","308.2","","","","","",""
"510.852873","","","","347.89","347.89","347.89","","",""
"511.500654","","","","","","","505.99","505.99","505.99"
"540.857501","","","","346.68","346.68","346.68","","",""
"541.503969","","","","","","","554.56","554.56","554.56"
"570.838123","300.25","300.25","300.25","","","","","",""
"570.8621","","","","360.87","360.87","360.87","","",""
"571.515169","","","","","","","570.18","570.18","570.18"
"600.840585","314.09","314.09","314.09","","","","","",""
"600.865356","","","","340.05","340.05","340.05","","",""
"601.517841","","","","","","","512.95","512.95","512.95"
"630.84563","305.17","305.17","305.17","","","","","",""
"630.869922","","","","319.05","319.05","319.05","","",""
"631.519704","","","","","","","518.6","518.6","518.6"
"660.850701","275.33","275.33","275.33","","","","","",""
"660.87469","","","","348.59","348.59","348.59","","",""
"661.526752","","","","","","","489.55","489.55","489.55"
"690.855524","272.92","272.92","272.92","","","","","",""
"690.879234","","","","337.44","337.44","337.44","","",""
"691.532106","","","","","","","478.16","478.16","478.16"
"720.858296","315.57","315.57","315.57","","","","","",""
"720.883668","","","","337.48","337.48","337.48","","",""
"721.56294","","","","","","","550.62","550.62","550.62"
"750.863575","302.62","302.62","302.62","","","","","",""
"750.888176","","","","332","332","332","","",""
"751.580888","","","","","","","549.59","549.59","549.59"
