"Relative Time (Process)","hopeful-cosmos-2 - system/gpu.0.gpu","hopeful-cosmos-2 - system/gpu.0.gpu__MIN","hopeful-cosmos-2 - system/gpu.0.gpu__MAX"
"61.322508","42.27","42.27","42.27"
"91.325404","88.93","88.93","88.93"
"121.341898","73.8","73.8","73.8"
"151.351469","77.07","77.07","77.07"
"181.380656","77.27","77.27","77.27"
"211.409512","75","75","75"
"241.411156","65.67","65.67","65.67"
"271.418166","73","73","73"
"301.41927","79.07","79.07","79.07"
"331.422145","86.2","86.2","86.2"
"361.434034","82.33","82.33","82.33"
"391.45065","71.87","71.87","71.87"
"421.477445","74.33","74.33","74.33"
"451.479099","77.73","77.73","77.73"
"481.484016","76.93","76.93","76.93"
"511.500654","74.53","74.53","74.53"
"541.503969","81.2","81.2","81.2"
"571.515169","89.2","89.2","89.2"
"601.517841","69.2","69.2","69.2"
"631.519704","80","80","80"
"661.526752","73.13","73.13","73.13"
"691.532106","66.13","66.13","66.13"
"721.56294","79.8","79.8","79.8"
"751.580888","81.67","81.67","81.67"
"781.595812","74.8","74.8","74.8"
"811.602736","70.4","70.4","70.4"
"841.609965","75.47","75.47","75.47"
"871.627615","64.33","64.33","64.33"
"901.644759","73.73","73.73","73.73"
"931.646188","70.6","70.6","70.6"
"961.649432","68.53","68.53","68.53"
"991.653411","72.47","72.47","72.47"
"1021.654005","88.4","88.4","88.4"
"1051.654848","93","93","93"
"1081.658527","81.67","81.67","81.67"
"1111.660163","72.13","72.13","72.13"
"1141.669647","75.73","75.73","75.73"
"1171.692915","76.6","76.6","76.6"
"1201.707029","77.13","77.13","77.13"
"1231.719689","65.07","65.07","65.07"
"1261.732635","76.87","76.87","76.87"
"1291.752702","67.2","67.2","67.2"
"1321.768681","66.07","66.07","66.07"
"1351.789624","72.53","72.53","72.53"
"1381.790618","73.27","73.27","73.27"
"1411.800105","70.8","70.8","70.8"
"1441.813954","74.67","74.67","74.67"
"1471.832811","72.13","72.13","72.13"
"1501.865663","70","70","70"
"1531.870465","72.07","72.07","72.07"
"1561.872769","67.53","67.53","67.53"
"1591.874366","78.87","78.87","78.87"
"1621.878785","89.33","89.33","89.33"
"1651.890634","80.33","80.33","80.33"
"1681.892305","81","81","81"
"1711.903732","71.93","71.93","71.93"
"1741.909697","71.8","71.8","71.8"
"1771.911112","72.33","72.33","72.33"
